DOW,NAME,COUNTY
01000100,Pine,Aitkin
01000200,Split Rock,Aitkin
01000300,Sandabacka,Aitkin
01000400,Dutch,Aitkin
01000500,Rice,Aitkin
01000600,Mud,Aitkin
01000700,Jay,Aitkin
01000800,Spruce,Aitkin
01000900,Douglas,Aitkin
01001000,Nelson,Aitkin
01001100,Cranberry,Aitkin
01001200,Louma,Aitkin
01001300,Kelly,Aitkin
01001400,Savanna,Aitkin
01001500,Shumway,Aitkin
01001600,Little Prairie,Aitkin
01001700,Stony,Aitkin
01001800,Little Savanna,Aitkin
01001900,Wolf,Aitkin
01002000,Unnamed,Aitkin
01002100,Floodwood Pond,Aitkin
01002200,Island,Aitkin
01002300,Round,Aitkin
01002400,Loon,Aitkin
01002500,Twenty-one,Aitkin
01002600,Little Sheriff,Aitkin
01002700,Sheriff,Aitkin
01002800,Starvation,Aitkin
01002900,Mud,Aitkin
01003000,Rice,Aitkin
01003100,Anderson,Aitkin
01003200,Camp,Aitkin
01003300,Minnewawa,Aitkin
01003400,Horseshoe,Aitkin
01003500,Mud,Aitkin
01003600,Wakefield,Aitkin
01003700,Unnamed,Aitkin
01003800,Remote,Aitkin
01003900,Unnamed,Aitkin
01004000,Aitkin,Aitkin
01004100,Twin,Aitkin
01004200,Glacier,Aitkin
01004300,Unnamed,Aitkin
01004400,Tiesen,Aitkin
01004500,Blackface,Aitkin
01004600,Ball Bluff,Aitkin
01004700,Long,Aitkin
01004800,Little Blackface,Aitkin
01004900,Bay,Aitkin
01005000,Unnamed,Aitkin
01005100,Unnamed,Aitkin
01005200,Little Red Horse,Aitkin
01005300,Rat House,Aitkin
01005400,Unnamed,Aitkin
01005500,Boot,Aitkin
01005600,Cutaway,Aitkin
01005700,Little Ball Bluff,Aitkin
01005800,Vanduse,Aitkin
01005900,Hay,Aitkin
01006000,Sandy River,Aitkin
01006100,Flowage,Aitkin
01006200,Big Sandy,Aitkin
01006300,Bass,Aitkin
01006400,Bear,Aitkin
01006500,Cedar,Aitkin
01006600,Porcupine,Aitkin
01006700,Rice,Aitkin
01006800,Mandy,Aitkin
01006900,Portage,Aitkin
01007000,Round,Aitkin
01007100,Davis,Aitkin
01007101,Davis (Main Bay),Aitkin
01007102,Steamboat,Aitkin
01007200,Rock,Aitkin
01007300,Bass,Aitkin
01007400,Turner,Aitkin
01007500,Ude,Aitkin
01007600,Sanders,Aitkin
01007700,Rat,Aitkin
01007800,Brown,Aitkin
01008000,Libby,Aitkin
01008100,Oxbow,Aitkin
01008200,Twin,Aitkin
01008300,Townline,Aitkin
01008400,Sugar,Aitkin
01008500,Twenty,Aitkin
01008600,Deer,Aitkin
01008700,Sugar,Aitkin
01008800,Lily,Aitkin
01008900,Long,Aitkin
01009000,Spring,Aitkin
01009100,Rabbit,Aitkin
01009200,Swamp,Aitkin
01009300,Clear,Aitkin
01009400,Johnson,Aitkin
01009500,Unnamed,Aitkin
01009600,Dam,Aitkin
01009700,Newstrom,Aitkin
01009800,Camp,Aitkin
01009900,Gun,Aitkin
01010000,Jenkins,Aitkin
01010100,Long,Aitkin
01010200,Wilkins,Aitkin
01010300,Whispering,Aitkin
01010400,French,Aitkin
01010500,Fleming,Aitkin
01010600,Clear,Aitkin
01010700,Red,Aitkin
01010800,Langs,Aitkin
01010900,Taylor,Aitkin
01011000,Studhorse,Aitkin
01011100,Washburn,Aitkin
01011200,Dagle,Aitkin
01011300,Turtle,Aitkin
01011400,Thirty-One,Aitkin
01011500,Section Ten,Aitkin
01011600,Four,Aitkin
01011700,Nord,Aitkin
01011800,Raspberry,Aitkin
01011900,Edquist,Aitkin
01012000,Section Twelve,Aitkin
01012100,Linde,Aitkin
01012200,Sweetman,Aitkin
01012300,Elm Island,Aitkin
01012400,Sixteen,Aitkin
01012500,Lone,Aitkin
01012600,Monson,Aitkin
01012700,Section 25,Aitkin
01012800,Lingroth,Aitkin
01012900,Sissabagamah,Aitkin
01013000,Perkins,Aitkin
01013100,Johnson,Aitkin
01013200,Hanson,Aitkin
01013300,Olson,Aitkin
01013400,Sitas,Aitkin
01013500,Packer,Aitkin
01013600,Waukenabo,Aitkin
01013700,Round,Aitkin
01013800,Kingsley Pothole,Aitkin
01013900,Kangas,Aitkin
01014000,Moose,Aitkin
01014100,Previs,Aitkin
01014200,Hill,Aitkin
01014201,Hill (North Basin),Aitkin
01014202,Hill (South Basin),Aitkin
01014300,Perry,Aitkin
01014400,Bible,Aitkin
01014500,Chamberlin,Aitkin
01014600,Ripple,Aitkin
01014700,Esquagamah,Aitkin
01014800,White Elk,Aitkin
01014900,Mallard,Aitkin
01015000,Little Spruce,Aitkin
01015100,Spruce,Aitkin
01015200,Cranberry,Aitkin
01015300,Laurel,Aitkin
